level,repeat,representation,accuracy,translation,scale_low,scale_high,noise
1,1,Hybrid,100.0,0.1,0.8,1.25,0.001
1,2,XY,89.65517241379311,0.1,0.8,1.25,0.001
1,2,Translated,99.73474801061008,0.1,0.8,1.25,0.001
1,2,Scaled,99.91158267020336,0.1,0.8,1.25,0.001
1,2,Norm. distance,100.0,0.1,0.8,1.25,0.001
1,2,Angles,97.52431476569407,0.1,0.8,1.25,0.001
1,2,Hybrid,100.0,0.1,0.8,1.25,0.001
1,3,XY,90.18567639257294,0.1,0.8,1.25,0.001
1,3,Translated,99.82316534040672,0.1,0.8,1.25,0.001
1,3,Scaled,99.91158267020336,0.1,0.8,1.25,0.001
1,3,Norm. distance,100.0,0.1,0.8,1.25,0.001
1,3,Angles,97.61273209549071,0.1,0.8,1.25,0.001
1,3,Hybrid,100.0,0.1,0.8,1.25,0.001
1,4,XY,89.92042440318302,0.1,0.8,1.25,0.001
1,4,Translated,99.73474801061008,0.1,0.8,1.25,0.001
1,4,Scaled,99.91158267020336,0.1,0.8,1.25,0.001
1,4,Norm. distance,100.0,0.1,0.8,1.25,0.001
1,4,Angles,97.34748010610079,0.1,0.8,1.25,0.001
1,4,Hybrid,100.0,0.1,0.8,1.25,0.001
1,5,XY,89.56675508399647,0.1,0.8,1.25,0.001
1,5,Translated,99.73474801061008,0.1,0.8,1.25,0.001
1,5,Scaled,99.91158267020336,0.1,0.8,1.25,0.001
1,5,Norm. distance,100.0,0.1,0.8,1.25,0.001
1,5,Angles,97.96640141467728,0.1,0.8,1.25,0.001
1,5,Hybrid,100.0,0.1,0.8,1.25,0.001
1,6,XY,90.80459770114942,0.1,0.8,1.25,0.001
1,6,Translated,99.73474801061008,0.1,0.8,1.25,0.001
1,6,Scaled,99.91158267020336,0.1,0.8,1.25,0.001
1,6,Norm. distance,99.91158267020336,0.1,0.8,1.25,0.001
1,6,Angles,97.70114942528735,0.1,0.8,1.25,0.001
1,6,Hybrid,100.0,0.1,0.8,1.25,0.001
1,7,XY,92.04244031830238,0.1,0.8,1.25,0.001
1,7,Translated,99.82316534040672,0.1,0.8,1.25,0.001
1,7,Scaled,100.0,0.1,0.8,1.25,0.001
1,7,Norm. distance,100.0,0.1,0.8,1.25,0.001
1,7,Angles,97.87798408488064,0.1,0.8,1.25,0.001
1,7,Hybrid,100.0,0.1,0.8,1.25,0.001
1,8,XY,88.94783377541998,0.1,0.8,1.25,0.001
1,8,Translated,99.82316534040672,0.1,0.8,1.25,0.001
1,8,Scaled,100.0,0.1,0.8,1.25,0.001
1,8,Norm. distance,100.0,0.1,0.8,1.25,0.001
1,8,Angles,97.43589743589743,0.1,0.8,1.25,0.001
1,8,Hybrid,100.0,0.1,0.8,1.25,0.001
1,9,XY,89.12466843501326,0.1,0.8,1.25,0.001
1,9,Translated,99.82316534040672,0.1,0.8,1.25,0.001
1,9,Scaled,100.0,0.1,0.8,1.25,0.001
1,9,Norm. distance,100.0,0.1,0.8,1.25,0.001
1,9,Angles,97.96640141467728,0.1,0.8,1.25,0.001
1,9,Hybrid,100.0,0.1,0.8,1.25,0.001
2,0,XY,56.85234305923961,0.25,0.6,1.6,0.002
2,0,Translated,99.55791335101681,0.25,0.6,1.6,0.002
2,0,Scaled,99.91158267020336,0.25,0.6,1.6,0.002
2,0,Norm. distance,99.91158267020336,0.25,0.6,1.6,0.002
2,0,Angles,92.3076923076923,0.25,0.6,1.6,0.002
2,0,Hybrid,100.0,0.25,0.6,1.6,0.002
2,1,XY,58.09018567639257,0.25,0.6,1.6,0.002
2,1,Translated,99.46949602122017,0.25,0.6,1.6,0.002
2,1,Scaled,100.0,0.25,0.6,1.6,0.002
2,1,Norm. distance,100.0,0.25,0.6,1.6,0.002
2,1,Angles,92.83819628647215,0.25,0.6,1.6,0.002
2,1,Hybrid,100.0,0.25,0.6,1.6,0.002
2,2,XY,59.77011494252874,0.25,0.6,1.6,0.002
2,2,Translated,99.73474801061008,0.25,0.6,1.6,0.002
2,2,Scaled,100.0,0.25,0.6,1.6,0.002
2,2,Norm. distance,100.0,0.25,0.6,1.6,0.002
2,2,Angles,94.16445623342176,0.25,0.6,1.6,0.002
2,2,Hybrid,100.0,0.25,0.6,1.6,0.002
2,3,XY,60.30061892130858,0.25,0.6,1.6,0.002
2,3,Translated,99.64633068081345,0.25,0.6,1.6,0.002
2,3,Scaled,99.91158267020336,0.25,0.6,1.6,0.002
2,3,Norm. distance,99.91158267020336,0.25,0.6,1.6,0.002
2,3,Angles,92.3076923076923,0.25,0.6,1.6,0.002
2,3,Hybrid,100.0,0.25,0.6,1.6,0.002
2,4,XY,58.88594164456234,0.25,0.6,1.6,0.002
2,4,Translated,99.73474801061008,0.25,0.6,1.6,0.002
2,4,Scaled,99.91158267020336,0.25,0.6,1.6,0.002
2,4,Norm. distance,100.0,0.25,0.6,1.6,0.002
2,4,Angles,92.9266136162688,0.25,0.6,1.6,0.002
2,4,Hybrid,100.0,0.25,0.6,1.6,0.002
2,5,XY,56.41025641025641,0.25,0.6,1.6,0.002
2,5,Translated,99.46949602122017,0.25,0.6,1.6,0.002
2,5,Scaled,99.91158267020336,0.25,0.6,1.6,0.002
2,5,Norm. distance,100.0,0.25,0.6,1.6,0.002
2,5,Angles,93.1918656056587,0.25,0.6,1.6,0.002
2,5,Hybrid,100.0,0.25,0.6,1.6,0.002
2,6,XY,58.797524314765695,0.25,0.6,1.6,0.002
2,6,Translated,99.64633068081345,0.25,0.6,1.6,0.002
2,6,Scaled,99.91158267020336,0.25,0.6,1.6,0.002
2,6,Norm. distance,100.0,0.25,0.6,1.6,0.002
2,6,Angles,93.28028293545535,0.25,0.6,1.6,0.002
2,6,Hybrid,100.0,0.25,0.6,1.6,0.002
2,7,XY,58.44385499557914,0.25,0.6,1.6,0.002
2,7,Translated,99.38107869142353,0.25,0.6,1.6,0.002
2,7,Scaled,99.91158267020336,0.25,0.6,1.6,0.002
2,7,Norm. distance,99.91158267020336,0.25,0.6,1.6,0.002
2,7,Angles,93.45711759504863,0.25,0.6,1.6,0.002
2,7,Hybrid,100.0,0.25,0.6,1.6,0.002
2,8,XY,58.00176834659593,0.25,0.6,1.6,0.002
2,8,Translated,99.55791335101681,0.25,0.6,1.6,0.002
2,8,Scaled,99.91158267020336,0.25,0.6,1.6,0.002
2,8,Norm. distance,99.91158267020336,0.25,0.6,1.6,0.002
2,8,Angles,92.83819628647215,0.25,0.6,1.6,0.002
2,8,Hybrid,100.0,0.25,0.6,1.6,0.002
2,9,XY,57.736516357206014,0.25,0.6,1.6,0.002
2,9,Translated,99.38107869142353,0.25,0.6,1.6,0.002
2,9,Scaled,99.91158267020336,0.25,0.6,1.6,0.002
2,9,Norm. distance,100.0,0.25,0.6,1.6,0.002
2,9,Angles,93.36870026525199,0.25,0.6,1.6,0.002
2,9,Hybrid,100.0,0.25,0.6,1.6,0.002
3,0,XY,37.754199823165344,0.45,0.4,2.0,0.003
3,0,Translated,97.34748010610079,0.45,0.4,2.0,0.003
3,0,Scaled,99.91158267020336,0.45,0.4,2.0,0.003
3,0,Norm. distance,99.91158267020336,0.45,0.4,2.0,0.003
3,0,Angles,86.5605658709107,0.45,0.4,2.0,0.003
3,0,Hybrid,100.0,0.45,0.4,2.0,0.003
3,1,XY,36.693191865605655,0.45,0.4,2.0,0.003
3,1,Translated,97.17064544650752,0.45,0.4,2.0,0.003
3,1,Scaled,99.91158267020336,0.45,0.4,2.0,0.003
3,1,Norm. distance,100.0,0.45,0.4,2.0,0.003
3,1,Angles,86.29531388152077,0.45,0.4,2.0,0.003
3,1,Hybrid,100.0,0.45,0.4,2.0,0.003
3,2,XY,37.48894783377542,0.45,0.4,2.0,0.003
3,2,Translated,96.99381078691424,0.45,0.4,2.0,0.003
3,2,Scaled,99.73474801061008,0.45,0.4,2.0,0.003
3,2,Norm. distance,99.91158267020336,0.45,0.4,2.0,0.003
3,2,Angles,86.29531388152077,0.45,0.4,2.0,0.003
3,2,Hybrid,100.0,0.45,0.4,2.0,0.003
3,3,XY,36.693191865605655,0.45,0.4,2.0,0.003
3,3,Translated,97.61273209549071,0.45,0.4,2.0,0.003
3,3,Scaled,100.0,0.45,0.4,2.0,0.003
3,3,Norm. distance,99.91158267020336,0.45,0.4,2.0,0.003
3,3,Angles,87.0026525198939,0.45,0.4,2.0,0.003
3,3,Hybrid,100.0,0.45,0.4,2.0,0.003
3,4,XY,37.842617152961985,0.45,0.4,2.0,0.003
3,4,Translated,97.70114942528735,0.45,0.4,2.0,0.003
3,4,Scaled,99.91158267020336,0.45,0.4,2.0,0.003
3,4,Norm. distance,100.0,0.45,0.4,2.0,0.003
3,4,Angles,84.7922192749779,0.45,0.4,2.0,0.003
3,4,Hybrid,100.0,0.45,0.4,2.0,0.003
3,5,XY,39.787798408488065,0.45,0.4,2.0,0.003
3,5,Translated,96.64014146772767,0.45,0.4,2.0,0.003
3,5,Scaled,99.91158267020336,0.45,0.4,2.0,0.003
3,5,Norm. distance,99.91158267020336,0.45,0.4,2.0,0.003
3,5,Angles,86.73740053050398,0.45,0.4,2.0,0.003
3,5,Hybrid,100.0,0.45,0.4,2.0,0.003
3,6,XY,38.9920424403183,0.45,0.4,2.0,0.003
3,6,Translated,97.52431476569407,0.45,0.4,2.0,0.003
3,6,Scaled,99.91158267020336,0.45,0.4,2.0,0.003
3,6,Norm. distance,99.91158267020336,0.45,0.4,2.0,0.003
3,6,Angles,87.8868258178603,0.45,0.4,2.0,0.003
3,6,Hybrid,99.91158267020336,0.45,0.4,2.0,0.003
3,7,XY,39.61096374889478,0.45,0.4,2.0,0.003
3,7,Translated,97.43589743589743,0.45,0.4,2.0,0.003
3,7,Scaled,99.91158267020336,0.45,0.4,2.0,0.003
3,7,Norm. distance,99.91158267020336,0.45,0.4,2.0,0.003
3,7,Angles,85.2343059239611,0.45,0.4,2.0,0.003
3,7,Hybrid,100.0,0.45,0.4,2.0,0.003
3,8,XY,35.8974358974359,0.45,0.4,2.0,0.003
3,8,Translated,97.61273209549071,0.45,0.4,2.0,0.003
3,8,Scaled,100.0,0.45,0.4,2.0,0.003
3,8,Norm. distance,99.91158267020336,0.45,0.4,2.0,0.003
3,8,Angles,85.14588859416446,0.45,0.4,2.0,0.003
3,8,Hybrid,100.0,0.45,0.4,2.0,0.003
3,9,XY,35.45534924845269,0.45,0.4,2.0,0.003
3,9,Translated,97.43589743589743,0.45,0.4,2.0,0.003
3,9,Scaled,99.91158267020336,0.45,0.4,2.0,0.003
3,9,Norm. distance,99.91158267020336,0.45,0.4,2.0,0.003
3,9,Angles,85.76480990274094,0.45,0.4,2.0,0.003
3,9,Hybrid,100.0,0.45,0.4,2.0,0.003
4,0,XY,28.293545534924846,0.7,0.3,2.5,0.004
4,0,Translated,95.57913351016799,0.7,0.3,2.5,0.004
4,0,Scaled,99.73474801061008,0.7,0.3,2.5,0.004
4,0,Norm. distance,99.73474801061008,0.7,0.3,2.5,0.004
4,0,Angles,80.28293545534925,0.7,0.3,2.5,0.004
4,0,Hybrid,100.0,0.7,0.3,2.5,0.004
4,1,XY,26.8788682581786,0.7,0.3,2.5,0.004
4,1,Translated,95.84438549955792,0.7,0.3,2.5,0.004
4,1,Scaled,99.64633068081345,0.7,0.3,2.5,0.004
4,1,Norm. distance,99.82316534040672,0.7,0.3,2.5,0.004
4,1,Angles,79.39876215738285,0.7,0.3,2.5,0.004
4,1,Hybrid,99.91158267020336,0.7,0.3,2.5,0.004
4,2,XY,27.763041556145,0.7,0.3,2.5,0.004
4,2,Translated,95.57913351016799,0.7,0.3,2.5,0.004
4,2,Scaled,99.82316534040672,0.7,0.3,2.5,0.004
4,2,Norm. distance,99.73474801061008,0.7,0.3,2.5,0.004
4,2,Angles,80.45977011494253,0.7,0.3,2.5,0.004
4,2,Hybrid,99.91158267020336,0.7,0.3,2.5,0.004
4,3,XY,27.144120247568527,0.7,0.3,2.5,0.004
4,3,Translated,95.75596816976127,0.7,0.3,2.5,0.004
4,3,Scaled,99.55791335101681,0.7,0.3,2.5,0.004
4,3,Norm. distance,99.82316534040672,0.7,0.3,2.5,0.004
4,3,Angles,80.81343943412908,0.7,0.3,2.5,0.004
4,3,Hybrid,100.0,0.7,0.3,2.5,0.004
4,4,XY,29.53138815207781,0.7,0.3,2.5,0.004
4,4,Translated,95.04862953138814,0.7,0.3,2.5,0.004
4,4,Scaled,99.91158267020336,0.7,0.3,2.5,0.004
4,4,Norm. distance,99.73474801061008,0.7,0.3,2.5,0.004
4,4,Angles,80.01768346595934,0.7,0.3,2.5,0.004
4,4,Hybrid,100.0,0.7,0.3,2.5,0.004
4,5,XY,28.205128205128204,0.7,0.3,2.5,0.004
4,5,Translated,96.19805481874447,0.7,0.3,2.5,0.004
4,5,Scaled,99.64633068081345,0.7,0.3,2.5,0.004
4,5,Norm. distance,99.64633068081345,0.7,0.3,2.5,0.004
4,5,Angles,80.90185676392572,0.7,0.3,2.5,0.004
4,5,Hybrid,99.73474801061008,0.7,0.3,2.5,0.004
4,6,XY,26.525198938992045,0.7,0.3,2.5,0.004
4,6,Translated,96.19805481874447,0.7,0.3,2.5,0.004
4,6,Scaled,99.91158267020336,0.7,0.3,2.5,0.004
4,6,Norm. distance,99.82316534040672,0.7,0.3,2.5,0.004
4,6,Angles,81.34394341290893,0.7,0.3,2.5,0.004
4,6,Hybrid,100.0,0.7,0.3,2.5,0.004
4,7,XY,29.708222811671085,0.7,0.3,2.5,0.004
4,7,Translated,95.93280282935456,0.7,0.3,2.5,0.004
4,7,Scaled,99.91158267020336,0.7,0.3,2.5,0.004
4,7,Norm. distance,99.82316534040672,0.7,0.3,2.5,0.004
4,7,Angles,79.39876215738285,0.7,0.3,2.5,0.004
4,7,Hybrid,99.91158267020336,0.7,0.3,2.5,0.004
4,8,XY,29.619805481874444,0.7,0.3,2.5,0.004
4,8,Translated,96.37488947833775,0.7,0.3,2.5,0.004
4,8,Scaled,99.46949602122017,0.7,0.3,2.5,0.004
4,8,Norm. distance,99.82316534040672,0.7,0.3,2.5,0.004
4,8,Angles,80.99027409372238,0.7,0.3,2.5,0.004
4,8,Hybrid,99.91158267020336,0.7,0.3,2.5,0.004
4,9,XY,28.293545534924846,0.7,0.3,2.5,0.004
4,9,Translated,94.51812555260831,0.7,0.3,2.5,0.004
4,9,Scaled,99.73474801061008,0.7,0.3,2.5,0.004
4,9,Norm. distance,99.91158267020336,0.7,0.3,2.5,0.004
4,9,Angles,80.99027409372238,0.7,0.3,2.5,0.004
4,9,Hybrid,99.91158267020336,0.7,0.3,2.5,0.004
